"model_asset","mean_Standard","mean_NF","sd_Standard","sd_NF","min_Standard","min_NF","max_Standard","max_NF","kurtosis_Standard","kurtosis_NF","skewness_Standard","skewness_NF","mean_diff","sd_ratio","range_ratio"
"TGARCH_AMZN",-0.0319399161693651,NA,2.18177140681108,NA,-26.9611350029071,NA,49.5199713050872,NA,85.2588588153126,NA,3.99274645622026,NA,NA,NA,NA
"TGARCH_EURUSD",0.0144051277613607,NA,1.9949021429178,NA,-29.4224647524907,NA,24.3723929942326,NA,26.4365588307986,NA,-0.993025110908818,NA,NA,NA,NA
"TGARCH_GBPUSD",0.201038839268025,NA,1.86941397009696,NA,-20.6802589009937,NA,14.7941587708778,NA,9.58296449125379,NA,-0.351291284360612,NA,NA,NA,NA
"TGARCH_MSFT",-0.0856216433827242,NA,2.07061106472561,NA,-52.8183107517648,NA,33.0330037731278,NA,111.744513085099,NA,-2.57197508798142,NA,NA,NA,NA
"TGARCH_NVDA",-0.0607137069342865,NA,1.93323647438006,NA,-14.1491989605614,NA,31.4260156345373,NA,23.4053704147049,NA,1.3932371250521,NA,NA,NA,NA
"TGARCH_USDZAR",-0.0279488147315657,NA,1.78100562110902,NA,-10.8997060415882,NA,20.100074522624,NA,10.2802268821779,NA,0.815903963218669,NA,NA,NA,NA
"eGARCH_AMZN",NA,0.0351796516272842,NA,1.03525477477181,NA,-3.8741405,NA,3.4672487,NA,-0.0987097368127525,NA,0.00828868516901492,NA,NA,NA
"eGARCH_EURUSD",22.6104492237605,16.6550579833287,93.3520293049287,158.472680971003,-355.807847868497,-539.8312,3011.65916215242,544.44763,295.254002660548,0.0676152501507552,13.2724843439317,-0.0232784705366344,-5.95539124043182,1.69758153251668,0.32198647433617
"eGARCH_GBPUSD",NA,19.1798280127523,NA,81.1922038832719,NA,-247.63414,NA,357.19705,NA,0.0717875837359174,NA,0.0375530858643262,NA,NA,NA
"eGARCH_MSFT",NA,-0.0666183628540297,NA,1.27504738332805,NA,-4.5059724,NA,4.575619,NA,0.135228763473286,NA,0.0570543382285118,NA,NA,NA
"eGARCH_NVDA",NA,0.0198652064034013,NA,1.04508395729267,NA,-3.5553155,NA,4.0453625,NA,-0.0131670699933633,NA,0.0281554285891741,NA,NA,NA
"eGARCH_USDZAR",NA,0.0460923389516777,NA,1.00156544352279,NA,-4.0640903,NA,3.854169,NA,0.219691064262844,NA,-0.00603906585361901,NA,NA,NA
"sGARCH_AMZN",-0.534776316177478,NA,1.44420426949452,NA,-9.49619737628385,NA,19.3397134466155,NA,21.7678558415666,NA,1.550459480697,NA,NA,NA,NA
"sGARCH_EURUSD",0.113007255253204,NA,1.51279513516232,NA,-13.0417515395697,NA,11.0161994711471,NA,5.38691722778347,NA,-0.303605395926867,NA,NA,NA,NA
"sGARCH_GBPUSD",0.0354806873596851,NA,1.46843174220196,NA,-9.94013618037098,NA,10.3236710983515,NA,3.49780761346868,NA,-0.085489459988176,NA,NA,NA,NA
"sGARCH_MSFT",-0.083840969679693,NA,1.49449522011851,NA,-22.4876960705222,NA,11.4622885974568,NA,16.4001270934683,NA,-0.594273026992919,NA,NA,NA,NA
"sGARCH_NVDA",-0.28586124077925,NA,1.46170226121194,NA,-10.3627202991755,NA,12.9264919881193,NA,6.55211529652939,NA,0.276020823150965,NA,NA,NA,NA
"sGARCH_USDZAR",-0.0782183371166354,NA,1.46516279442882,NA,-8.25740587376472,NA,10.6714089895414,NA,3.20062505752396,NA,0.415040929437456,NA,NA,NA,NA
